xe	re	ue	pe	Ee
0.49	2.517921784	1.711657508	5.68769192	7.11209441
0.492	2.502228878	1.722768619	5.638126031	7.117069689
0.494	2.486614313	1.73387973	5.588930844	7.122186062
0.496	2.471077798	1.744990841	5.540104046	7.127443529
0.498	2.455619038	1.756101953	5.491643334	7.132842089
0.5	2.440237741	1.767213064	5.443546418	7.138381742
0.502	2.424933617	1.778324175	5.39581102	7.144062489
0.504	2.409706373	1.789435286	5.348434873	7.14988433
0.506	2.394555721	1.800546397	5.30141572	7.155847263
0.508	2.379481371	1.811657508	5.254751317	7.161951291
0.51	2.364483034	1.822768619	5.20843943	7.168196412
0.512	2.349560423	1.83387973	5.162477838	7.174582626
0.514	2.33471325	1.844990841	5.116864331	7.181109934
0.516	2.319941229	1.856101953	5.071596707	7.187778335
0.518	2.305244074	1.867213064	5.02667278	7.19458783
0.52	2.290621501	1.878324175	4.982090371	7.201538418
0.522	2.276073225	1.889435286	4.937847314	7.2086301
0.524	2.261598962	1.900546397	4.893941454	7.215862875
0.526	2.247198431	1.911657508	4.850370647	7.223236743
0.528	2.232871348	1.922768619	4.807132759	7.230751706
0.53	2.218617433	1.93387973	4.764225668	7.238407761
0.532	2.204436405	1.944990841	4.721647262	7.24620491
0.534	2.190327984	1.956101953	4.67939544	7.254143153
0.536	2.176291891	1.967213064	4.637468111	7.262222489
0.538	2.162327847	1.978324175	4.595863197	7.270442918
0.54	2.148435575	1.989435286	4.554578629	7.278804441
0.542	2.134614798	2.000546397	4.513612349	7.287307058
0.544	2.120865239	2.011657508	4.472962309	7.295950767
0.546	2.107186623	2.022768619	4.432626471	7.304735571
0.548	2.093578674	2.03387973	4.392602811	7.313661468
0.55	2.08004112	2.044990841	4.352889311	7.322728458
0.552	2.066573686	2.056101953	4.313483966	7.331936542
0.554	2.053176099	2.067213064	4.274384782	7.341285719
0.556	2.039848088	2.078324175	4.235589772	7.35077599
0.558	2.02658938	2.089435286	4.197096963	7.360407354
0.56	2.013399707	2.100546397	4.15890439	7.370179812
0.562	2.000278797	2.111657508	4.121010099	7.380093363
0.564	1.987226381	2.122768619	4.083412147	7.390148008
0.566	1.974242191	2.13387973	4.0461086	7.400343746
0.568	1.961325959	2.144990841	4.009097534	7.410680577
0.57	1.948477418	2.156101953	3.972377035	7.421158502
0.572	1.935696301	2.167213064	3.935945201	7.431777521
0.574	1.922982343	2.178324175	3.899800137	7.442537633
0.576	1.910335279	2.189435286	3.863939961	7.453438838
0.578	1.897754845	2.200546397	3.828362797	7.464481137
0.58	1.885240776	2.211657508	3.793066784	7.47566453
0.582	1.87279281	2.222768619	3.758050066	7.486989016
0.584	1.860410685	2.23387973	3.7233108	7.498454595
0.586	1.848094139	2.244990841	3.688847151	7.510061268
0.588	1.835842911	2.256101953	3.654657295	7.521809034
0.59	1.823656741	2.267213064	3.620739416	7.533697894
0.592	1.81153537	2.278324175	3.587091709	7.545727847
0.594	1.799478539	2.289435286	3.553712379	7.557898894
0.596	1.78748599	2.300546397	3.520599639	7.570211034
0.598	1.775557465	2.311657508	3.487751712	7.582664268
0.6	1.763692708	2.322768619	3.455166832	7.595258595
0.602	1.751891463	2.33387973	3.42284324	7.607994016
0.604	1.740153474	2.344990841	3.390779189	7.62087053
0.606	1.728478487	2.356101953	3.358972939	7.633888138
0.608	1.716866248	2.367213064	3.327422761	7.647046839
0.61	1.705316503	2.378324175	3.296126933	7.660346633
0.612	1.693829001	2.389435286	3.265083747	7.673787521
0.614	1.682403488	2.400546397	3.234291498	7.687369503
0.616	1.671039715	2.411657508	3.203748495	7.701092578
0.618	1.659737429	2.422768619	3.173453055	7.714956746
0.62	1.648496382	2.43387973	3.143403502	7.728962008
0.622	1.637316324	2.444990841	3.113598172	7.743108364
0.624	1.626197007	2.456101953	3.084035408	7.757395813
0.626	1.615138183	2.467213064	3.054713562	7.771824355
0.628	1.604139605	2.478324175	3.025630998	7.786393991
0.63	1.593201026	2.489435286	2.996786084	7.80110472
0.632	1.5823222	2.500546397	2.9681772	7.815956543
0.634	1.571502883	2.511657508	2.939802736	7.830949459
0.636	1.560742829	2.522768619	2.911661087	7.846083469
0.638	1.550041795	2.53387973	2.883750661	7.861358572
0.64	1.539399538	2.544990841	2.856069871	7.876774769
0.642	1.528815816	2.556101953	2.828617141	7.892332059
0.644	1.518290386	2.567213064	2.801390902	7.908030442
0.646	1.507823008	2.578324175	2.774389597	7.92386992
0.648	1.497413441	2.589435286	2.747611673	7.93985049
0.65	1.487061445	2.600546397	2.721055589	7.955972154
0.652	1.476766781	2.611657508	2.694719812	7.972234912
0.654	1.46652921	2.622768619	2.668602815	7.988638763
0.656	1.456348496	2.63387973	2.642703082	8.005183707
0.658	1.4462244	2.644990841	2.617019106	8.021869745
0.66	1.436156686	2.656101953	2.591549385	8.038696877
0.662	1.426145119	2.667213064	2.56629243	8.055665101
0.664	1.416189463	2.678324175	2.541246755	8.07277442
0.666	1.406289483	2.689435286	2.516410888	8.090024832
0.668	1.396444947	2.700546397	2.49178336	8.107416337
0.67	1.38665562	2.711657508	2.467362713	8.124948936
0.672	1.37692127	2.722768619	2.443147498	8.142622628
0.674	1.367241665	2.73387973	2.419136272	8.160437414
0.676	1.357616574	2.744990841	2.3953276	8.178393293
0.678	1.348045766	2.756101953	2.371720058	8.196490266
0.68	1.338529012	2.767213064	2.348312227	8.214728332
0.682	1.329066082	2.778324175	2.325102697	8.233107491
0.684	1.319656748	2.789435286	2.302090067	8.251627745
0.686	1.310300781	2.800546397	2.279272941	8.270289091
0.688	1.300997954	2.811657508	2.256649936	8.289091531
0.69	1.291748041	2.822768619	2.234219671	8.308035065
0.692	1.282550815	2.83387973	2.211980777	8.327119692
0.694	1.273406051	2.844990841	2.189931891	8.346345412
0.696	1.264313525	2.856101953	2.168071659	8.365712226
0.698	1.255273012	2.867213064	2.146398732	8.385220134
0.7	1.246284288	2.878324175	2.124911773	8.404869135
0.702	1.237347131	2.889435286	2.10360945	8.424659229
0.704	1.228461319	2.900546397	2.082490437	8.444590417
0.706	1.21962663	2.911657508	2.06155342	8.464662698
0.708	1.210842843	2.922768619	2.040797088	8.484876073
0.71	1.202109739	2.93387973	2.020220141	8.505230541
0.712	1.193427096	2.944990841	1.999821286	8.525726103
0.714	1.184794697	2.956101953	1.979599234	8.546362758
0.716	1.176212322	2.967213064	1.959552709	8.567140507
0.718	1.167679755	2.978324175	1.939680438	8.588059349
0.72	1.159196778	2.989435286	1.919981157	8.609119285
0.722	1.150763175	3.000546397	1.90045361	8.630320314
0.724	1.142378729	3.011657508	1.881096546	8.651662436
0.726	1.134043226	3.022768619	1.861908725	8.673145653
0.728	1.12575645	3.03387973	1.84288891	8.694769962
0.73	1.117518189	3.044990841	1.824035875	8.716535365
0.732	1.109328229	3.056101953	1.805348399	8.738441862
0.734	1.101186356	3.067213064	1.786825268	8.760489452
0.736	1.093092359	3.078324175	1.768465277	8.782678135
0.738	1.085046027	3.089435286	1.750267225	8.805007912
0.74	1.077047148	3.100546397	1.732229922	8.827478782
0.742	1.069095513	3.111657508	1.714352182	8.850090746
0.744	1.061190912	3.122768619	1.696632827	8.872843804
0.746	1.053333135	3.13387973	1.679070687	8.895737954
0.748	1.045521975	3.144990841	1.661664596	8.918773199
0.75	1.037757224	3.156101953	1.644413397	8.941949536
0.752	1.030038675	3.167213064	1.627315942	8.965266968
0.754	1.02236612	3.178324175	1.610371085	8.988725492
0.756	1.014739355	3.189435286	1.59357769	9.012325111
0.758	1.007158175	3.200546397	1.576934628	9.036065822
0.76	0.999622373	3.211657508	1.560440774	9.059947627
0.762	0.992131747	3.222768619	1.544095014	9.083970526
0.764	0.984686093	3.23387973	1.527896236	9.108134518
0.766	0.977285208	3.244990841	1.511843339	9.132439604
0.768	0.969928891	3.256101953	1.495935225	9.156885783
0.77	0.962616938	3.267213064	1.480170805	9.181473055
0.772	0.95534915	3.278324175	1.464548995	9.206201421
0.774	0.948125326	3.289435286	1.449068719	9.231070881
0.776	0.940945266	3.300546397	1.433728907	9.256081434
0.778	0.933808772	3.311657508	1.418528494	9.28123308
0.78	0.926715644	3.322768619	1.403466424	9.30652582
0.782	0.919665685	3.33387973	1.388541646	9.331959653
0.784	0.912658697	3.344990841	1.373753115	9.35753458
0.786	0.905694483	3.356101953	1.359099793	9.3832506
0.788	0.898772848	3.367213064	1.344580649	9.409107714
0.79	0.891893596	3.378324175	1.330194657	9.435105921
0.792	0.885056532	3.389435286	1.315940797	9.461245222
0.794	0.878261461	3.400546397	1.301818058	9.487525616
0.796	0.871508191	3.411657508	1.287825432	9.513947104
0.798	0.864796527	3.422768619	1.273961919	9.540509685
0.8	0.858126277	3.43387973	1.260226524	9.56721336
0.802	0.851497249	3.444990841	1.24661826	9.594058128
0.804	0.844909252	3.456101953	1.233136144	9.62104399
0.806	0.838362096	3.467213064	1.2197792	9.648170945
0.808	0.831855589	3.478324175	1.206546459	9.675438993
0.81	0.825389542	3.489435286	1.193436956	9.702848135
0.812	0.818963767	3.500546397	1.180449733	9.730398371
0.814	0.812578075	3.511657508	1.167583839	9.7580897
0.816	0.806232278	3.522768619	1.154838327	9.785922122
0.818	0.799926189	3.53387973	1.142212257	9.813895638
0.82	0.79365962	3.544990841	1.129704696	9.842010247
0.822	0.787432388	3.556101953	1.117314714	9.87026595
0.824	0.781244304	3.567213064	1.105041389	9.898662746
0.826	0.775095186	3.578324175	1.092883805	9.927200636
0.828	0.768984848	3.589435286	1.08084105	9.955879619
0.83	0.762913107	3.600546397	1.06891222	9.984699696
0.832	0.761136975	3.603810038	1.065429906	9.99319176
0.834	0.761136975	3.603810038	1.065429906	9.99319176
0.836	0.761136975	3.603810038	1.065429906	9.99319176
0.838	0.761136975	3.603810038	1.065429906	9.99319176
0.84	0.761136975	3.603810038	1.065429906	9.99319176
0.842	0.761136975	3.603810038	1.065429906	9.99319176
0.844	0.761136975	3.603810038	1.065429906	9.99319176
