xe	re	ue	pe	Ee
0.448	0.940512006	0.822124408	0.917719757	2.777359587
0.45	0.931604964	0.833235519	0.905575181	2.77728873
0.452	0.922765533	0.844346631	0.893568622	2.777358966
0.454	0.913993327	0.855457742	0.88169877	2.777570296
0.456	0.905287962	0.866568853	0.869964325	2.777922719
0.458	0.896649056	0.877679964	0.858363998	2.778416236
0.46	0.888076227	0.888791075	0.846896508	2.779050846
0.462	0.879569095	0.899902186	0.835560586	2.779826549
0.464	0.871127282	0.911013297	0.824354971	2.780743346
0.466	0.862750411	0.922124408	0.813278413	2.781801237
0.468	0.854438107	0.933235519	0.802329671	2.783000221
0.47	0.846189996	0.944346631	0.791507513	2.784340299
0.472	0.838005705	0.955457742	0.780810717	2.785821469
0.474	0.829884864	0.966568853	0.770238071	2.787443734
0.476	0.821827101	0.977679964	0.759788372	2.789207092
0.478	0.81383205	0.988791075	0.749460425	2.791111543
0.48	0.805899344	0.999902186	0.739253047	2.793157088
0.482	0.798028617	1.011013297	0.729165062	2.795343726
0.484	0.790219505	1.022124408	0.719195305	2.797671458
0.486	0.782471646	1.033235519	0.709342618	2.800140283
0.488	0.774784679	1.044346631	0.699605853	2.802750202
0.49	0.767158245	1.055457742	0.689983872	2.805501214
0.492	0.759591984	1.066568853	0.680475545	2.80839332
0.494	0.75208554	1.077679964	0.67107975	2.811426519
0.496	0.744638558	1.088791075	0.661795377	2.814600812
0.498	0.737250684	1.099902186	0.652621321	2.817916198
0.5	0.729921565	1.111013297	0.643556488	2.821372678
0.502	0.722650851	1.122124408	0.634599792	2.824970251
0.504	0.71543819	1.133235519	0.625750157	2.828708917
0.506	0.708283236	1.144346631	0.617006513	2.832588677
0.508	0.701185641	1.155457742	0.6083678	2.836609531
0.51	0.694145059	1.166568853	0.599832968	2.840771478
0.512	0.687161147	1.177679964	0.591400972	2.845074518
0.514	0.680233561	1.188791075	0.583070779	2.849518652
0.516	0.67336196	1.199902186	0.574841362	2.85410388
0.518	0.666546005	1.211013297	0.566711703	2.858830201
0.52	0.659785356	1.222124408	0.558680793	2.863697615
0.522	0.653079676	1.233235519	0.550747628	2.868706123
0.524	0.646428629	1.244346631	0.542911218	2.873855724
0.526	0.639831881	1.255457742	0.535170575	2.879146419
0.528	0.633289099	1.266568853	0.527524722	2.884578207
0.53	0.626799951	1.277679964	0.519972691	2.890151089
0.532	0.620364106	1.288791075	0.51251352	2.895865064
0.534	0.613981235	1.299902186	0.505146255	2.901720133
0.536	0.607651011	1.311013297	0.497869951	2.907716295
0.538	0.601373108	1.322124408	0.49068367	2.91385355
0.54	0.5951472	1.333235519	0.483586482	2.920131899
0.542	0.588972963	1.344346631	0.476577465	2.926551342
0.544	0.582850076	1.355457742	0.469655703	2.933111878
0.546	0.579866687	1.360905519	0.466293567	2.936380057
0.548	0.579866687	1.360905519	0.466293567	2.936380057
0.55	0.579866687	1.360905519	0.466293567	2.936380057
0.552	0.579866687	1.360905519	0.466293567	2.936380057
0.554	0.579866687	1.360905519	0.466293567	2.936380057
0.556	0.579866687	1.360905519	0.466293567	2.936380057
0.558	0.579866687	1.360905519	0.466293567	2.936380057
0.56	0.579866687	1.360905519	0.466293567	2.936380057
0.562	0.579866687	1.360905519	0.466293567	2.936380057
0.564	0.579866687	1.360905519	0.466293567	2.936380057
0.566	0.579866687	1.360905519	0.466293567	2.936380057
0.568	0.579866687	1.360905519	0.466293567	2.936380057
0.57	0.579866687	1.360905519	0.466293567	2.936380057
0.572	0.579866687	1.360905519	0.466293567	2.936380057
0.574	0.579866687	1.360905519	0.466293567	2.936380057
0.576	0.579866687	1.360905519	0.466293567	2.936380057
