xe	re	ue	pe	Ee
0.356	0.852370076	0.186013297	0.799612312	2.36256204
0.358	0.844137955	0.197124408	0.788821609	2.355604058
0.36	0.835969561	0.208235519	0.778155964	2.348787169
0.362	0.827864524	0.219346631	0.767614167	2.342111373
0.364	0.819822474	0.230457742	0.757195017	2.335576671
0.366	0.811843043	0.241568853	0.746897323	2.329183062
0.368	0.803925866	0.252679964	0.736719903	2.322930547
0.37	0.796070577	0.263791075	0.726661585	2.316819126
0.372	0.788276812	0.274902186	0.716721203	2.310848797
0.374	0.78054421	0.286013297	0.706897603	2.305019563
0.376	0.77287241	0.297124408	0.697189641	2.299331422
0.378	0.765261052	0.308235519	0.687596179	2.293784374
0.38	0.757709779	0.319346631	0.67811609	2.28837842
0.382	0.750218234	0.330457742	0.668748255	2.283113559
0.384	0.742786062	0.341568853	0.659491563	2.277989791
0.386	0.73541291	0.352679964	0.650344916	2.273007118
0.388	0.728098425	0.363791075	0.641307218	2.268165537
0.39	0.720842257	0.374902186	0.632377388	2.26346505
0.392	0.713644056	0.386013297	0.623554351	2.258905657
0.394	0.706503474	0.397124408	0.614837038	2.254487357
0.396	0.699420164	0.408235519	0.606224394	2.250210151
0.398	0.692393782	0.419346631	0.597715369	2.246074038
0.4	0.685423983	0.430457742	0.58930892	2.242079018
0.402	0.678510426	0.441568853	0.581004017	2.238225092
0.404	0.671652768	0.452679964	0.572799635	2.234512259
0.406	0.664850671	0.463791075	0.564694757	2.23094052
0.408	0.658103795	0.474902186	0.556688377	2.227509875
0.41	0.651411805	0.486013297	0.548779494	2.224220323
0.412	0.644774365	0.497124408	0.540967117	2.221071864
0.414	0.638191139	0.508235519	0.533250263	2.218064499
0.416	0.631661797	0.519346631	0.525627956	2.215198227
0.418	0.625186005	0.530457742	0.51809923	2.212473049
0.42	0.618763435	0.541568853	0.510663124	2.209888964
0.422	0.612393756	0.552679964	0.503318688	2.207445973
0.424	0.606076643	0.563791075	0.496064978	2.205144075
0.426	0.599811769	0.574902186	0.488901057	2.202983271
0.428	0.593598809	0.586013297	0.481825997	2.20096356
0.43	0.58743744	0.597124408	0.47483888	2.199084942
0.432	0.58132734	0.608235519	0.46793879	2.197347418
0.434	0.575268188	0.619346631	0.461124824	2.195750988
0.436	0.569259666	0.630457742	0.454396083	2.194295651
0.438	0.563301454	0.641568853	0.447751677	2.192981407
0.44	0.557393237	0.652679964	0.441190724	2.191808257
0.442	0.5515347	0.663791075	0.434712349	2.190776201
0.444	0.545725527	0.674902186	0.428315683	2.189885238
0.446	0.539965407	0.686013297	0.421999866	2.189135368
0.448	0.534254029	0.697124408	0.415764044	2.188526592
0.45	0.528591082	0.708235519	0.409607372	2.188058909
0.452	0.522976258	0.719346631	0.40352901	2.18773232
0.454	0.517409249	0.730457742	0.397528127	2.187546825
0.456	0.511889749	0.741568853	0.391603897	2.187502422
0.458	0.506417454	0.752679964	0.385755504	2.187599114
0.46	0.50099206	0.763791075	0.379982136	2.187836898
0.462	0.495613264	0.774902186	0.37428299	2.188215776
0.464	0.490280767	0.786013297	0.368657268	2.188735748
0.466	0.484994269	0.797124408	0.363104181	2.189396813
0.468	0.479753471	0.808235519	0.357622946	2.190198972
0.47	0.474558077	0.819346631	0.352212785	2.191142224
0.472	0.46940779	0.830457742	0.346872931	2.19222657
0.474	0.464302317	0.841568853	0.341602618	2.193452009
0.476	0.459241364	0.852679964	0.336401092	2.194818541
0.478	0.454224639	0.863791075	0.331267602	2.196326167
0.48	0.449251853	0.874902186	0.326201405	2.197974887
0.482	0.444322715	0.886013297	0.321201765	2.199764699
0.484	0.439436938	0.897124408	0.316267951	2.201695606
0.486	0.434594236	0.908235519	0.311399239	2.203767606
0.488	0.429794322	0.919346631	0.306594911	2.205980699
0.49	0.426319428	0.92745262	0.303130178	2.207684251
0.492	0.426319428	0.92745262	0.303130178	2.207684251
0.494	0.426319428	0.92745262	0.303130178	2.207684251
0.496	0.426319428	0.92745262	0.303130178	2.207684251
0.498	0.426319428	0.92745262	0.303130178	2.207684251
0.5	0.426319428	0.92745262	0.303130178	2.207684251
0.502	0.426319428	0.92745262	0.303130178	2.207684251
0.504	0.426319428	0.92745262	0.303130178	2.207684251
0.506	0.426319428	0.92745262	0.303130178	2.207684251
0.508	0.426319428	0.92745262	0.303130178	2.207684251
0.51	0.426319428	0.92745262	0.303130178	2.207684251
0.512	0.426319428	0.92745262	0.303130178	2.207684251
0.514	0.426319428	0.92745262	0.303130178	2.207684251
0.516	0.426319428	0.92745262	0.303130178	2.207684251
0.518	0.426319428	0.92745262	0.303130178	2.207684251
0.52	0.426319428	0.92745262	0.303130178	2.207684251
0.522	0.426319428	0.92745262	0.303130178	2.207684251
0.524	0.426319428	0.92745262	0.303130178	2.207684251
0.526	0.426319428	0.92745262	0.303130178	2.207684251
0.528	0.426319428	0.92745262	0.303130178	2.207684251
0.53	0.426319428	0.92745262	0.303130178	2.207684251
0.532	0.426319428	0.92745262	0.303130178	2.207684251
0.534	0.426319428	0.92745262	0.303130178	2.207684251
0.536	0.426319428	0.92745262	0.303130178	2.207684251
0.538	0.426319428	0.92745262	0.303130178	2.207684251
0.54	0.426319428	0.92745262	0.303130178	2.207684251
0.542	0.426319428	0.92745262	0.303130178	2.207684251
0.544	0.426319428	0.92745262	0.303130178	2.207684251
0.546	0.426319428	0.92745262	0.303130178	2.207684251
